CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOPWSHKMLQCDEFIAH00617467";1;1;2019;4;2;554;1;1
"TQRMNOPWSHKOMMCDEFIAH00617458";1;1;2019;4;2;514;2;2
"TQRMNOPWTHKMLQCDEFIAH00617468";1;1;2019;4;2;554;1;1
"TQRMNOPWUHKMLQCDEFIAH00617447";2;1;2019;4;2;554;1;1
"TQRMNOPWVHKMLQCDEFIAH00617426";1;1;2019;4;2;554;1;1
"TQRMNOPWWHKMLQCDEFIAH00617454";1;1;2019;4;2;554;1;1
"TQRMNOPXPHJMLOCDEFIAH00622928";1;1;2019;4;2;598;1;1
"TQRMNOPXSHKLLRCDEFIAH00617471";1;1;2019;4;2;672;1;1
"TQRMNOPXTHJLLLCDEFIAH00622900";1;1;2019;4;2;744;1;1
"TQRMNOPXUHJLLLCDEFIAH00622968";1;1;2019;4;2;744;1;1
"TQRMNOPXUHKLLRCDEFIAH00622930";1;1;2019;4;2;672;1;1
"TQRMNOPXVHJMLOCDEFIAH00623019";1;1;2019;4;2;598;1;1
"TQRMNOPXVHJOLNCDEFIAH00628406";1;1;2019;4;2;638;1;1
"TQRMNOPXWHJMLOCDEFIAH00622949";1;1;2019;4;2;598;1;1
"TQRMNOPXWHJNLRCDEFIAH00622924";1;1;2019;4;2;476;2;2
"TQRMNOPXWHKLLRCDEFIAH00646655";1;1;2019;4;2;672;1;1
"TQRMNOPXXHJMLOCDEFIAH00628536";1;1;2019;4;2;598;1;1
"TQRMNOPXXHJNLRCDEFIAH00646693";1;1;2019;4;2;476;2;2
"TQRMNOPXYHJNLRCDEFIAH00622868";1;1;2019;4;2;476;2;2
"TQRMNOPYPHJNLRCDEFIAH00622884";1;1;2019;4;2;476;2;2
"TQRMNOPYSHJMKPCDEFIAH00622971";1;1;2019;4;2;485;1;1
"TQRMNOPYSHJMLPCDEFIAH00628489";1;1;2019;4;2;558;2;1
"TQRMNOPYTHJMKPCDEFIAH00623002";1;1;2019;4;2;485;1;1
"TQRMNOPYUHJMKPCDEFIAH00622950";1;1;2019;4;2;485;1;1
"TQRMNOPYVHJMKPCDEFIAH00622866";1;1;2019;4;2;485;2;1
"TQRMNOPYVHLMKPCDEFIAH00646701";1;1;2019;4;2;598;1;1
"TQRMNOPYWHJMKPCDEFIAH00622953";1;1;2019;4;2;485;2;2
"TQRMNOPYXHLMKPCDEFIAH00646663";1;1;2019;4;2;598;1;1
"TQRMNOPYYHKLKRCDEFIAH00617434";1;1;2019;4;2;679;1;1
"TQRMNOPYYHLMKPCDEFIAH00646707";1;1;2019;4;2;598;1;1
"TQRMNOQPQHKLKRCDEFIAH00617413";1;1;2019;4;2;679;1;1
"TQRMNOQPQHLMMLCDEFIAH00646618";1;1;2019;4;2;539;1;1
"TQRMNOQPRHLMMLCDEFIAH00646646";1;1;2019;4;2;539;1;1
