"CODUSU","NRO_HOGAR","REALIZADA","ANO4","TRIMESTRE","AGLOMERADO","POND_TIC","IH_II_01","IH_II_02"
"TQRMNOPYWHKMKOCDEFIAH00487717",1,1,2016,4,2,565,1,1
"TQRMNOPYWHMMLNCDEFIAH00487877",1,1,2016,4,2,532,1,1
"TQRMNOPYXHJMMLCDEFIAH00498052",1,1,2016,4,2,555,1,1
"TQRMNOPYXHJOLTCDEFIAH00497989",1,1,2016,4,2,630,2,2
"TQRMNOPYXHMMLNCDEFIAH00487801",1,1,2016,4,2,532,1,1
"TQRMNOPYYHJMLPCDEFIAH00498060",1,1,2016,4,2,565,1,1
"TQRMNOPYYHJMLUCDEFIAH00497961",1,1,2016,4,2,564,2,1
"TQRMNOPYYHLKLMCDEFIAH00497994",1,1,2016,4,2,562,1,1
"TQRMNOQPPHJMLUCDEFIAH00497930",1,1,2016,4,2,564,1,1
"TQRMNOQPPHJMMLCDEFIAH00498062",1,1,2016,4,2,555,1,1
"TQRMNOQPPHJOLTCDEFIAH00497974",1,1,2016,4,2,630,1,1
"TQRMNOQPPHKKKQCDEFIAH00497899",1,1,2016,4,2,910,1,1
"TQRMNOQPPHKMKOCDEFIAH00487709",1,1,2016,4,2,565,2,1
"TQRMNOQPPHMMLNCDEFIAH00498097",1,1,2016,4,2,532,1,1
"TQRMNOQPQHJOLTCDEFIAH00497973",1,1,2016,4,2,630,1,1
"TQRMNOQPQHLLKUCDEFIAH00497947",1,1,2016,4,2,972,1,1
"TQRMNOQPSHLLKUCDEFIAH00497939",1,1,2016,4,2,972,1,1
"TQRMNOQPVHKLLRCDEFIAH00487873",1,1,2016,4,2,805,1,1
"TQRMNOQPWHKLLRCDEFIAH00487854",1,1,2016,4,2,805,1,1
"TQRMNOQPXHKLKSCDEFIAH00497912",1,1,2016,4,2,1113,1,1
"TQRMNOQPYHKLLRCDEFIAH00487824",1,1,2016,4,2,805,1,1
"TQRMNOQQPHKLKSCDEFIAH00487657",1,1,2016,4,2,1113,1,1
"TQRMNOQQPHKLLRCDEFIAH00487863",1,1,2016,4,2,805,1,1
"TQRMNOQQQHJMKTCDEFIAH00497963",1,1,2016,4,2,540,1,1
"TQRMNOQQQHKLKRCDEFIAH00487732",1,1,2016,4,2,826,1,1
"TQRMNOQQQHLMLTCDEFIAH00498090",1,1,2016,4,2,522,1,1
"TQRMNOQQRHJMKTCDEFIAH00497972",1,1,2016,4,2,540,1,1
"TQRMNOQQRHLMLTCDEFIAH00498159",1,1,2016,4,2,522,1,1
"TQRMNOQQRHLNMMCDEFIAH00498134",1,1,2016,4,2,333,1,1
"TQRMNOQQSHJMKTCDEFIAH00497971",1,1,2016,4,2,540,1,1
"TQRMNOQQTHKLKRCDEFIAH00487710",1,1,2016,4,2,826,1,1
"TQRMNOQQTHLMLTCDEFIAH00498131",1,1,2016,4,2,522,1,1
"TQRMNOQQTHLNMMCDEFIAH00498139",1,1,2016,4,2,333,1,1
"TQRMNOQQUHJMKTCDEFIAH00497978",1,1,2016,4,2,540,2,2
"TQRMNOQQUHLMLOCDEFIAH00497984",1,1,2016,4,2,544,1,1
"TQRMNOQQUHLMLTCDEFIAH00498107",1,1,2016,4,2,522,1,1
"TQRMNOQQUHLNMMCDEFIAH00498141",1,1,2016,4,2,333,2,2
"TQRMNOQQVHLMKPCDEFIAH00497958",1,1,2016,4,2,598,1,1
"TQRMNOQQVHLMMLCDEFIAH00497942",1,1,2016,4,2,533,1,1
"TQRMNOQQWHLLKTCDEFIAH00497900",1,1,2016,4,2,1036,1,1
"TQRMNOQQWHLMKPCDEFIAH00497925",1,1,2016,4,2,598,1,1
"TQRMNOQQWHMMLMCDEFIAH00487626",1,1,2016,4,2,551,1,1
"TQRMNOQQXHLMKPCDEFIAH00497967",1,1,2016,4,2,598,1,1
"TQRMNOQQXHLMLUCDEFIAH00498122",1,1,2016,4,2,564,1,1
"TQRMNOQQXHMMLMCDEFIAH00487671",1,1,2016,4,2,551,1,1
"TQRMNOQQYHLMKPCDEFIAH00497926",1,1,2016,4,2,598,1,1
"TQRMNOQQYHLMLPCDEFIAH00498072",1,1,2016,4,2,543,1,1
"TQRMNOQQYHLMMLCDEFIAH00497944",1,1,2016,4,2,533,2,1
"TQRMNOQQYHMLKPCDEFIAH00487623",1,1,2016,4,2,797,1,1
"TQRMNOQRPHLMKPCDEFIAH00497957",1,1,2016,4,2,598,1,1
"TQRMNOQRPHLMLPCDEFIAH00497997",1,1,2016,4,2,543,1,1
"TQRMNOQRPHLMLUCDEFIAH00498112",1,1,2016,4,2,564,1,1
"TQRMNOQRPHMLKPCDEFIAH00487635",1,1,2016,4,2,797,1,1
"TQRMNOQRPHMMLMCDEFIAH00487627",1,1,2016,4,2,551,1,1
"TQRMNOQRQHLOKRCDEFIAH00498082",1,1,2016,4,2,678,1,1
"TQRMNOQRQHMMLLCDEFIAH00487846",1,1,2016,4,2,562,2,1
"TQRMNOQRQHMOMMCDEFIAH00487637",1,1,2016,4,2,747,1,1
"TQRMNOQRRHLOKRCDEFIAH00497992",1,1,2016,4,2,678,2,2
"TQRMNOQRRHMMLLCDEFIAH00487885",1,1,2016,4,2,562,2,1
"TQRMNOQRRHMOMMCDEFIAH00487696",1,1,2016,4,2,747,1,1
"TQRMNOQRSHMMLLCDEFIAH00487775",1,1,2016,4,2,562,2,2
"TQRMNOQRSHMOMMCDEFIAH00487638",1,1,2016,4,2,747,1,1
"TQRMNOQRTHMMLLCDEFIAH00487866",1,1,2016,4,2,562,1,1
"TQRMNOQRTHMOMMCDEFIAH00487639",1,1,2016,4,2,747,2,2
"TQRMNOQRUHLOKRCDEFIAH00498011",1,1,2016,4,2,678,1,1
"TQRMNOQRUHMOMMCDEFIAH00487640",1,1,2016,4,2,747,1,1
"TQRMNOQRXHMKKSCDEFIAH00487725",2,1,2016,4,2,903,1,1
"TQRMNOQRXHMMKOCDEFIAH00487848",1,1,2016,4,2,539,1,1
"TQRMNOQSQHMOLTCDEFIAH00487700",1,1,2016,4,2,1058,2,1
"TQRMNOQSSHMOLTCDEFIAH00487652",2,1,2016,4,2,1058,2,2
"TQRMNOQSTHMOLTCDEFIAH00487653",1,1,2016,4,2,1058,1,1
"TQRMNOQSUHMOLTCDEFIAH00487661",1,1,2016,4,2,1058,2,1
"TQRMNOQTQHJMKPCDEFIAH00497905",1,1,2016,4,2,488,1,1
"TQRMNOQTQHMLKUCDEFIAH00498009",1,1,2016,4,2,848,2,2
"TQRMNOQTRHJMKPCDEFIAH00497914",1,1,2016,4,2,488,2,2
"TQRMNOQTRHMKKQCDEFIAH00487636",1,1,2016,4,2,1020,1,1
"TQRMNOQTSHJMKPCDEFIAH00497908",1,1,2016,4,2,488,1,1
"TQRMNOQTSHMKKQCDEFIAH00487644",1,1,2016,4,2,1020,1,1
"TQRMNOQTSHMLKUCDEFIAH00487777",1,1,2016,4,2,848,1,1
"TQRMNOQTTHJMKPCDEFIAH00497906",1,1,2016,4,2,488,1,1
"TQRMNOQTTHMKKQCDEFIAH00487645",1,1,2016,4,2,1020,1,1
"TQRMNOQTTHMLKUCDEFIAH00487693",1,1,2016,4,2,848,1,1
"TQRMNOQTUHJMKPCDEFIAH00497910",1,1,2016,4,2,488,2,2
"TQRMNOQTUHMKKQCDEFIAH00487624",1,1,2016,4,2,1020,1,1
"TQRMNOQTUHMLKUCDEFIAH00487760",1,1,2016,4,2,848,1,1
"TQRMNOQTVHMMLPCDEFIAH00487720",1,1,2016,4,2,570,1,1
"TQRMNOQTWHMMLPCDEFIAH00487724",1,1,2016,4,2,570,1,1
"TQRMNOQTXHMMLPCDEFIAH00487788",1,1,2016,4,2,570,1,1
"TQRMNOQTYHMMLPCDEFIAH00487759",1,1,2016,4,2,570,1,1
"TQRMNOQUPHMMLPCDEFIAH00498039",1,1,2016,4,2,570,2,1
"TQRMNOQUQHMOLRCDEFIAH00487781",1,1,2016,4,2,1235,2,2
"TQRMNOQURHKMLMCDEFIAH00487823",1,1,2016,4,2,583,2,2
