CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPQWHLOKMCDEFIAH00646620";1;2;2019;4;2;646;1;2;2;1
"TQRMNOPQWHMOKNCDEFIAH00640516";2;1;2019;4;2;651;1;1;2;1
"TQRMNOPQWHMOKNCDEFIAH00640516";2;2;2019;4;2;651;1;1;2;1
"TQRMNOPQWHMOKNCDEFIAH00640516";2;3;2019;4;2;651;1;1;2;2
"TQRMNOPQWHMOKNCDEFIAH00640516";2;4;2019;4;2;651;1;1;2;2
"TQRMNOPQXHJKKSCDEFIAH00628486";1;1;2019;4;2;1487;1;1;1;1
"TQRMNOPQXHLOKMCDEFIAH00646715";1;1;2019;4;2;646;1;1;2;1
"TQRMNOPQXHLOKMCDEFIAH00646715";1;2;2019;4;2;646;1;2;2;1
"TQRMNOPQYHJKKSCDEFIAH00622876";1;1;2019;4;2;1487;1;1;1;1
"TQRMNOPQYHKOLTCDEFIAH00617356";1;1;2019;4;2;401;2;2;2;2
"TQRMNOPQYHKOLTCDEFIAH00617356";1;2;2019;4;2;401;2;2;2;2
"TQRMNOPQYHKOLTCDEFIAH00617356";1;4;2019;4;2;401;2;1;2;1
"TQRMNOPQYHLMKQCDEFIAH00646666";1;1;2019;4;2;551;1;1;2;1
"TQRMNOPQYHLMKQCDEFIAH00646666";1;2;2019;4;2;551;1;1;1;1
"TQRMNOPQYHLMKQCDEFIAH00646666";1;3;2019;4;2;551;1;1;1;1
"TQRMNOPQYHLMKQCDEFIAH00646666";1;4;2019;4;2;551;1;1;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;1;2019;4;2;646;1;1;2;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;2;2019;4;2;646;1;1;2;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;3;2019;4;2;646;1;1;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;4;2019;4;2;646;1;1;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;5;2019;4;2;646;1;1;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;6;2019;4;2;646;1;1;1;1
"TQRMNOPQYHLOKMCDEFIAH00646717";1;7;2019;4;2;646;1;1;2;2
"TQRMNOPQYHMOKNCDEFIAH00646714";1;1;2019;4;2;651;1;1;1;1
"TQRMNOPQYHMOKNCDEFIAH00646714";1;2;2019;4;2;651;1;1;1;1
"TQRMNOPQYHMOKNCDEFIAH00646714";1;3;2019;4;2;651;1;1;1;1
"TQRMNOPRPHJKKSCDEFIAH00646641";1;1;2019;4;2;1487;1;1;1;1
"TQRMNOPRPHLMKQCDEFIAH00646710";1;1;2019;4;2;551;1;1;2;1
"TQRMNOPRPHLMKQCDEFIAH00646710";1;2;2019;4;2;551;1;1;2;1
"TQRMNOPRPHMOKNCDEFIAH00640490";1;1;2019;4;2;651;3;1;2;1
"TQRMNOPRPHMOKNCDEFIAH00640490";1;2;2019;4;2;651;3;1;1;1
"TQRMNOPRPHMOKNCDEFIAH00640490";1;3;2019;4;2;651;3;1;1;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;1;2019;4;2;561;1;1;2;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;2;2019;4;2;561;1;1;2;1
"TQRMNOPRQHKNKMCDEFIAH00622939";1;3;2019;4;2;561;1;1;2;1
